Series Name,Series Code,Country Name,Country Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Mobile cellular subscriptions,IT.CEL.SETS,Albania,ALB,1259590,1530244,1909885,2322436,1859632,2463741,2692372,3100000,3500000,3685983,3359654,3400955,3369756,3625699,2714878,2630076,2618880,2635466,2782226,..
Mobile cellular subscriptions,IT.CEL.SETS,Andorra,AND,58366,64560,69004,63503,64202,64549,65495,65044,63865,63931,66241,71336,76132,80337,82614,87909,80380,93792,113521,..
Mobile cellular subscriptions,IT.CEL.SETS,Armenia,ARM,203309,318044,1259762,1876411,1442000,2191500,3865354,3211215,3322837,3346275,3459137,3464490,3434567,3488524,3579257,3618747,3488797,3599278,3760695,..
Mobile cellular subscriptions,IT.CEL.SETS,Austria,AUT,7992000,8665000,9281000,9912000,10816000,11434000,12241000,13022578,13588000,13272000,12952605,13470623,11079460,10859000,10984000,10726000,10717445,10882217,11034599,..
Mobile cellular subscriptions,IT.CEL.SETS,Azerbaijan,AZE,1456523,2242000,3323500,4519000,6548000,7757120,9100113,10120105,10125200,10130102,10552520,10697132,10189000,10127000,10339700,10750300,10344300,10817071,11068100,..
Mobile cellular subscriptions,IT.CEL.SETS,Belarus,BLR,2239287,4099500,5960000,6960000,8128000,9686200,10332900,10694900,10676471,11114440,11401927,11448281,11439866,11415141,11619651,11627249,11704084,11760087,11770639,..
Mobile cellular subscriptions,IT.CEL.SETS,Belgium,BEL,9131705,9604695,9847375,10738121,11341704,11775240,12154041,12495934,12313375,12315217,12734724,12774090,12550821,11357286,11447351,11509573,11529728,11740118,11873986,..
Mobile cellular subscriptions,IT.CEL.SETS,Bosnia and Herzegovina,BIH,1407441,1594367,1887820,2450425,3179036,3257239,3110233,3171283,3357541,3488319,3491188,3443520,3404043,3440085,3461058,3755521,3509674,3728775,3811931,..
Mobile cellular subscriptions,IT.CEL.SETS,Bulgaria,BGR,4729731,6244922,8253416,9897477,10429012,10454822,10199942,10475083,10780732,10486824,9486927,9194633,8973869,8532908,8387160,8134581,7945739,7902756,7964361,..
Mobile cellular subscriptions,IT.CEL.SETS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
